query,page,clicks,impressions,ctr,position
bosphorus boat rental,https://merrysails.com/cruises,0,1,0,66
bosphorus bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,3,0,55
bosphorus bridges,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,2,0,40.5
bosphorus cruise,https://merrysails.com/blog/best-bosphorus-cruise-istanbul-guide,0,1,0,70
bosphorus golden horn,https://merrysails.com/guides/golden-horn,0,1,0,49
bosphorus river,https://merrysails.com/guides/bosphorus-strait,0,1,0,76
bosphorus river turkey,https://merrysails.com/guides/bosphorus-strait,0,1,0,59
bosphorus strait,https://merrysails.com/guides/bosphorus-strait,0,1,0,57
bosphorus wedding yacht,https://merrysails.com/blog/yacht-wedding-istanbul-bosphorus,0,2,0,14.5
bosphorus yacht rental,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,58
eminönü waterfront,https://merrysails.com/guides/galata-bridge-eminonu,0,3,0,11.333333333333334
galatabrücke,https://merrysails.com/blog/best-bosphorus-cruise-istanbul-guide,0,1,0,16
golden horn,https://merrysails.com/guides/golden-horn,0,1,0,19
how to get to maiden tower istanbul,https://merrysails.com/guides/maidens-tower,0,1,0,96
istanbul boat rental,https://merrysails.com/boat-rental-istanbul,0,1,0,46
istanbul bosphorus bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,68
istanbul bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,57
istanbul bridge bosphorus,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,73
istanbul dinner cruises,https://merrysails.com/cruises/bosphorus-dinner-cruise,0,2,0,47
istanbul proposal,https://merrysails.com/cruises/romantic-marriage-proposal,0,1,0,66
kiz kulesi tower,https://merrysails.com/guides/maidens-tower,0,1,0,38
maiden tower,https://merrysails.com/guides/maidens-tower,0,1,0,87
maiden towers,https://merrysails.com/guides/maidens-tower,0,1,0,88
maiden's tower,https://merrysails.com/guides/maidens-tower,0,1,0,65
ortakoy mosque,https://merrysails.com/guides/ortakoy-mosque,0,3,0,71
ortakoy mosque waterfront evening,https://merrysails.com/guides/ortakoy-mosque,0,1,0,5
ortaköy waterfront,https://merrysails.com/guides/ortakoy-mosque,0,1,0,8
private boat istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,75
private boat rental istanbul,https://merrysails.com/boat-rental-istanbul,0,1,0,41
private yacht istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,68
turkey bridge istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,59
yacht charter istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,38
yacht rental istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,61
