query,page,clicks,impressions,ctr,position
activities cost,https://merrysails.com/blog/best-bosphorus-cruise-istanbul-guide,0,1,0,30
best season for bosphorus cruise istanbul weather views,https://merrysails.com/blog/best-bosphorus-cruise-istanbul-guide,0,1,0,19
boat rental istanbul,https://merrysails.com/boat-rental-istanbul,0,1,0,68
boat rental istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,81
bosphorus boat rental,https://merrysails.com/cruises,0,2,0,77.5
bosphorus boat rental,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,2,0,74
bosphorus bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,14,0,62.92857142857143
bosphorus bridge in istanbul turkey,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,52
bosphorus bridge istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,3,0,48.666666666666664
bosphorus bridge istanbul turkey,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,72
bosphorus bridge turkey,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,4,0,57
bosphorus bridges,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,4,0,36
bosphorus cruise,https://merrysails.com/blog/best-bosphorus-cruise-istanbul-guide,0,3,0,48
bosphorus golden horn,https://merrysails.com/guides/golden-horn,0,1,0,49
bosphorus river,https://merrysails.com/guides/bosphorus-strait,0,1,0,76
bosphorus river turkey,https://merrysails.com/guides/bosphorus-strait,0,2,0,59.5
bosphorus strait,https://merrysails.com/guides/bosphorus-strait,0,5,0,76.8
bosphorus straits,https://merrysails.com/guides/bosphorus-strait,0,4,0,62.25
bosphorus wedding yacht,https://merrysails.com/blog/yacht-wedding-istanbul-bosphorus,0,5,0,13
bosphorus yacht rental,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,58
bosporus bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,60
bridge bosphorus,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,2,0,67.5
bridge in istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,2,0,51
bridge istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,46
bridge of istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,3,0,61.333333333333336
bridges in istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,2,0,39
bridges in istanbul turkey,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,56
bridges istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,3,0,52
bridges of istanbul,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,2,0,47
corporate yacht event turkey,https://merrysails.com/blog/istanbul-corporate-yacht-events,0,1,0,20
dolmabahce,https://merrysails.com/guides/dolmabahce-palace,0,2,0,68
dolmabahce palace,https://merrysails.com/guides/dolmabahce-palace,0,3,0,64.66666666666666
dolmabahce palace istanbul,https://merrysails.com/guides/dolmabahce-palace,0,4,0,73.5
dolmabahce palace waterfront facade,https://merrysails.com/guides/dolmabahce-palace,0,1,0,9
dolmabahçe,https://merrysails.com/guides/dolmabahce-palace,0,1,0,69
dolmabahçe palace,https://merrysails.com/guides/dolmabahce-palace,0,4,0,67.5
dolmabahçe palace istanbul,https://merrysails.com/guides/dolmabahce-palace,0,1,0,52
eminönü waterfront,https://merrysails.com/guides/galata-bridge-eminonu,0,4,0,11.25
galatabrücke,https://merrysails.com/blog/best-bosphorus-cruise-istanbul-guide,0,1,0,16
golden horn,https://merrysails.com/guides/golden-horn,0,3,0,66.33333333333333
golden horn istanbul,https://merrysails.com/guides/golden-horn,0,2,0,70
golden horn turkey,https://merrysails.com/guides/golden-horn,0,3,0,70
goldenes horn istanbul,https://merrysails.com/guides/golden-horn,0,1,0,65
hidden gem istanbul,https://merrysails.com/blog/istanbul-hidden-gems-local-guide,0,1,0,62
how to get to maiden tower istanbul,https://merrysails.com/guides/maidens-tower,0,1,0,96
istanbul boat rental,https://merrysails.com/boat-rental-istanbul,0,2,0,51
istanbul bosphorus bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,4,0,62.5
istanbul bosphorus strait,https://merrysails.com/guides/bosphorus-strait,0,1,0,80
istanbul bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,6,0,52.5
istanbul bridge bosphorus,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,5,0,79.4
istanbul bridges,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,3,0,37.333333333333336
istanbul bridges on bosphorus,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,40
istanbul castle bosphorus,https://merrysails.com/guides/rumeli-fortress,0,1,0,23
istanbul dinner cruises,https://merrysails.com/cruises/bosphorus-dinner-cruise,0,5,0,48.2
istanbul golden horn,https://merrysails.com/guides/golden-horn,0,2,0,45
istanbul goldenes horn,https://merrysails.com/guides/golden-horn,0,1,0,42
istanbul maiden's tower,https://merrysails.com/guides/maidens-tower,0,1,0,73
istanbul party boat,https://merrysails.com/cruises/yacht-birthday-party,0,1,0,46
istanbul proposal,https://merrysails.com/cruises/romantic-marriage-proposal,0,2,0,66.5
istanbul strait,https://merrysails.com/guides/bosphorus-strait,0,1,0,61
istanbul turkey bridge,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,2,0,57.5
kiz kulesi tower,https://merrysails.com/guides/maidens-tower,0,1,0,38
kuruçeşme marina,https://merrysails.com/guides/kurucesme-marina,0,1,0,9
kız kulesi ingilizce,https://merrysails.com/guides/maidens-tower,0,1,0,94
kız kulesi ingilizcesi,https://merrysails.com/guides/maidens-tower,0,1,0,84
list of bridges between europe and asia,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,11
list of bridges connecting europe and asia,https://merrysails.com/guides/istanbul-bosphorus-bridges,0,1,0,10
luxury yacht rental istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,59
maiden tower,https://merrysails.com/guides/maidens-tower,0,2,0,75.5
maiden tower istanbul,https://merrysails.com/guides/maidens-tower,0,4,0,75.75
maiden towers,https://merrysails.com/guides/maidens-tower,0,1,0,88
maiden's tower,https://merrysails.com/guides/maidens-tower,0,2,0,55.5
maiden's tower kız kulesi istanbul,https://merrysails.com/guides/maidens-tower,0,1,0,11
maidens tower,https://merrysails.com/guides/maidens-tower,0,1,0,48
mosque ortakoy istanbul,https://merrysails.com/guides/ortakoy-mosque,0,1,0,62
ortakoy camii,https://merrysails.com/guides/ortakoy-mosque,0,1,0,29
ortakoy mosque,https://merrysails.com/guides/ortakoy-mosque,0,12,0,63.666666666666664
ortakoy mosque istanbul,https://merrysails.com/guides/ortakoy-mosque,0,1,0,73
ortakoy mosque waterfront,https://merrysails.com/guides/ortakoy-mosque,0,1,0,13
ortakoy mosque waterfront evening,https://merrysails.com/guides/ortakoy-mosque,0,1,0,5
ortaköy mosque,https://merrysails.com/guides/ortakoy-mosque,0,1,0,63
ortaköy waterfront,https://merrysails.com/guides/ortakoy-mosque,0,1,0,8
palace istanbul dolmabahce,https://merrysails.com/guides/dolmabahce-palace,0,1,0,64
private boat istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,75
private boat rental istanbul,https://merrysails.com/boat-rental-istanbul,0,1,0,41
private yacht charter istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,32
private yacht istanbul,https://merrysails.com/cruises/yacht-charter-in-istanbul,0,1,0,68
rumeli fortress,https://merrysails.com/guides/rumeli-fortress,0,3,0,41.666666666666664
rumeli fortress istanbul,https://merrysails.com/guides/rumeli-fortress,0,2,0,55
strait of istanbul,https://merrysails.com/guides/bosphorus-strait,0,1,0,69
sunset cruise istanbul,https://merrysails.com/cruises/bosphorus-sunset-cruise,0,1,0,53
the golden horn,https://merrysails.com/guides/golden-horn,0,1,0,24
the golden horn istanbul,https://merrysails.com/guides/golden-horn,0,1,0,77
the maiden's tower,https://merrysails.com/guides/maidens-tower,0,1,0,81
